"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 02 15:02:18 GMT 2021","Tue Mar 02 15:02:18 GMT 2021","0","Surefire suite","Surefire test","ChromeTest","ChromeTest","test3","test3",""
"passed","Tue Mar 02 15:02:18 GMT 2021","Tue Mar 02 15:02:18 GMT 2021","0","Surefire suite","Surefire test","ChromeTest","ChromeTest","test2","test2",""
"passed","Tue Mar 02 15:02:17 GMT 2021","Tue Mar 02 15:02:18 GMT 2021","1092","Surefire suite","Surefire test","ChromeTest","ChromeTest","test","test",""
